iter	Passed	Remaining
0	59	58973
1	59	29672
2	59	19876
3	60	15017
4	60	12068
5	60	10099
6	61	8696
7	61	7637
8	61	6813
9	62	6157
10	62	5622
11	62	5172
12	63	4792
13	63	4470
14	63	4187
15	64	3938
16	64	3721
17	64	3536
18	65	3369
19	65	3213
20	65	3071
21	66	2942
22	66	2825
23	66	2718
24	67	2618
25	67	2527
26	67	2443
27	68	2364
28	68	2290
29	68	2223
30	69	2159
31	69	2101
32	69	2044
33	70	1990
34	70	1939
35	70	1892
36	70	1847
37	71	1804
38	71	1764
39	71	1725
40	72	1689
41	72	1656
42	73	1625
43	73	1593
44	73	1563
45	73	1533
46	74	1505
47	74	1478
48	74	1452
49	75	1426
50	75	1404
51	75	1380
52	76	1359
53	76	1339
54	76	1318
55	77	1298
56	77	1279
57	77	1260
58	77	1242
59	78	1225
60	78	1209
61	78	1193
62	79	1177
63	79	1162
64	79	1148
65	80	1135
66	80	1121
67	80	1108
68	81	1095
69	81	1083
70	81	1070
71	82	1058
72	82	1046
73	82	1034
74	83	1023
75	83	1012
76	83	1002
77	84	994
78	84	985
79	84	975
80	85	965
81	85	956
82	85	945
83	85	936
84	86	927
85	86	919
86	86	910
87	87	903
88	87	896
89	88	889
90	88	883
91	89	879
92	89	873
93	90	867
94	90	861
95	90	853
96	90	846
97	91	839
98	91	832
99	91	827
100	92	820
101	92	814
102	92	807
103	93	801
104	93	798
105	93	792
106	94	786
107	94	780
108	94	775
109	95	771
110	95	765
111	95	760
112	96	755
113	96	749
114	96	744
115	97	739
116	97	734
117	97	729
118	97	724
119	98	719
120	98	714
121	98	709
122	98	705
123	99	701
124	99	696
125	99	693
126	100	688
127	100	684
128	100	681
129	101	677
130	101	673
131	101	669
132	102	665
133	102	661
134	102	657
135	102	654
136	103	650
137	103	648
138	104	645
139	104	642
140	104	638
141	105	634
142	105	631
143	105	628
144	106	626
145	106	622
146	106	619
147	107	616
148	107	613
149	107	609
150	107	606
151	108	604
152	108	601
153	108	598
154	109	595
155	109	592
156	109	589
157	110	587
158	110	583
159	110	581
160	110	577
161	111	574
162	111	572
163	111	569
164	111	566
165	112	564
166	112	561
167	112	559
168	113	556
169	113	555
170	113	552
171	114	550
172	114	547
173	114	545
174	115	543
175	115	540
176	115	538
177	115	535
178	116	533
179	116	531
180	116	529
181	117	526
182	117	524
183	117	522
184	118	523
185	119	521
186	119	520
187	120	518
188	120	517
189	120	515
190	125	529
191	126	532
192	134	560
193	135	561
194	135	558
195	135	556
196	136	554
197	137	555
198	137	554
199	138	553
200	138	551
201	139	549
202	139	547
203	139	545
204	140	543
205	140	541
206	141	541
207	141	539
208	142	538
209	142	537
210	143	535
211	143	533
212	143	531
213	144	529
214	144	527
215	170	618
216	176	637
217	177	635
218	177	633
219	178	631
220	178	629
221	178	626
222	179	624
223	179	621
224	179	619
225	191	655
226	192	653
227	192	651
228	192	648
229	193	646
230	193	643
231	193	640
232	193	638
233	194	635
234	194	633
235	195	631
236	195	629
237	195	627
238	196	624
239	196	622
240	196	620
241	197	617
242	197	615
243	198	613
244	198	612
245	199	610
246	199	609
247	200	606
248	200	604
249	200	602
250	201	601
251	201	598
252	202	596
253	202	594
254	202	592
255	202	589
256	203	587
257	203	585
258	203	583
259	204	581
260	204	580
261	205	579
262	205	576
263	206	576
264	207	576
265	208	573
266	208	571
267	208	570
268	209	569
269	209	567
270	210	565
271	210	563
272	212	565
273	213	566
274	214	566
275	215	564
276	215	562
277	218	566
278	219	567
279	223	573
280	224	573
281	224	572
282	233	592
283	235	593
284	236	593
285	236	591
286	237	589
287	237	588
288	238	587
289	239	585
290	239	584
291	240	582
292	240	580
293	241	579
294	241	577
295	242	575
296	242	573
297	242	571
298	243	569
299	243	568
300	244	567
301	244	565
302	245	564
303	246	563
304	246	562
305	247	560
306	247	559
307	248	557
308	248	555
309	248	553
310	249	552
311	249	550
312	249	548
313	250	546
314	250	544
315	251	543
316	251	542
317	252	540
318	252	539
319	252	537
320	253	535
321	253	533
322	253	531
323	254	530
324	254	528
325	254	526
326	255	524
327	255	523
328	255	521
329	256	519
330	256	518
331	256	516
332	257	514
333	257	513
334	257	511
335	258	510
336	258	508
337	258	506
338	259	505
339	259	503
340	260	502
341	260	500
342	260	499
343	260	497
344	261	496
345	261	494
346	262	493
347	262	492
348	263	491
349	263	489
350	264	488
351	264	487
352	265	486
353	265	485
354	266	484
355	267	484
356	268	483
357	268	481
358	268	480
359	269	478
360	269	477
361	269	475
362	270	474
363	270	472
364	270	470
365	271	469
366	271	467
367	271	466
368	271	464
369	272	463
370	272	461
371	272	460
372	273	459
373	273	457
374	273	456
375	275	456
376	275	455
377	276	454
378	276	452
379	276	451
380	277	450
381	277	448
382	277	447
383	278	445
384	278	444
385	278	443
386	279	442
387	279	440
388	279	439
389	280	438
390	280	436
391	280	435
392	280	433
393	281	432
394	281	431
395	281	429
396	282	428
397	282	426
398	282	425
399	282	424
400	283	422
401	283	421
402	283	420
403	283	418
404	284	417
405	284	416
406	284	414
407	285	413
408	285	412
409	285	411
410	285	409
411	286	409
412	287	407
413	287	406
414	287	405
415	287	404
416	288	402
417	288	401
418	288	400
419	289	399
420	289	398
421	290	397
422	290	396
423	290	395
424	291	394
425	291	392
426	291	391
427	292	390
428	292	389
429	292	388
430	293	387
431	293	386
432	293	384
433	294	383
434	294	382
435	294	381
436	295	380
437	295	379
438	295	378
439	296	376
440	296	375
441	296	374
442	296	373
443	297	372
444	297	371
445	297	369
446	298	368
447	298	367
448	298	366
449	299	365
450	299	364
451	299	363
452	300	362
453	300	361
454	300	360
455	301	359
456	301	358
457	302	357
458	302	356
459	302	355
460	303	354
461	303	353
462	304	352
463	304	351
464	304	350
465	305	349
466	305	348
467	305	347
468	306	346
469	306	345
470	306	344
471	307	343
472	307	342
473	307	341
474	307	340
475	308	339
476	308	338
477	308	337
478	309	336
479	309	335
480	309	334
481	310	333
482	310	332
483	310	331
484	310	330
485	311	329
486	311	328
487	311	327
488	311	326
489	312	324
490	312	324
491	312	323
492	313	321
493	313	320
494	313	319
495	313	318
496	314	317
497	314	316
498	314	316
499	315	315
500	315	314
501	315	313
502	316	312
503	316	311
504	316	310
505	317	309
